URL,Brand,Product Name,Model Number,Price,Ratings,Discount,Band Colour,Band Material,Band Width,Case Diameter,Case Material,Case Thickness,Dial Colour,Crystal Material,Case Shape,Movement,Water Resistance Depth,Special Features,ImageURL,image,price_band
https://www.amazon.in/Pantor-Sealion-Automatic-Rotating-Stainless/dp/B0116T31F4/ref=sr_1_120?dib=eyJ2IjoiMSJ9.VFTJtq38JGmPte3utK4C5X9YIw32TNjqvl0pLHQ-fWUpgzUrv4xq1hh9SIMoKMgeAY-8X68W5hOjBKIxv9FZn6yvCLoLu_GEYPbEl0yVGxCYwCHoxDEM5cdr6DGRCmSSbfk8GV4XaGPFKCn366Kz3XVV8Q06PlgVZqToPdqBUQNPIrTFbmWBmCXZr0whC6oiTRz5aBYHEN8tWinhr6NfxzZrRnONAlHuS5sy-SHd6ipxofKHLbb8B4mdHSgKmd-pV2s5QJJ4P8PUsrbbRvFy-rG7pKLbgnLFpL3PvFHZpSU.DjInISke7FrJDGDTUyBvyJWUK0OSDNwKz7rd1UkV6ug&dib_tag=se&qid=1744806597&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-120&xpid=NIOcc7XmuV-Ps,Pantor,"Sealion 300m Pro Dive Watch, 42mm Automatic Diver Watches for Men with Helium Valve Rotating Bezel Sapphire Crystal,Stainless Steel Bracelet Diving Watch",Sealion,"77,860",3.5,,Silver,Stainless Steel,22 Millimeters,42 Millimeters,Stainless Steel,12.6 Millimeters,black/blue/green,Sapphire Crystal,Round,Swiss Automatic,300 Meters,"Screw down crown, Luminous",https://m.media-amazon.com/images/I/61z2JzrpAkL._AC_UL320_.jpg,,40k+
https://www.amazon.in/PAUL-HEWITT-Oceanpulse-Analog-Colour/dp/B0BTP35WNV/ref=sr_1_77?dib=eyJ2IjoiMSJ9.tYLBRKX1WQIyqiHkNPqOLqLoSoW0Pcjm85lFLs2Ch5DOy8KceWwMSEruLlmCP4xAIlHcplb-yZTkkZ0amYOsPaAtmoVVGSH3x4KjYfTTTptUPkw_VaxIq9ASGNFokKfTdD56xTsV7G_XRUhK1KksvJ8WabSb7j9ki0peUcyQdI_8H1_v428WvUvrkzG5vtsrsuGA9T4USOI1K0CIeWNQK-dFpCwFsjhWc6N2Wp4tHhWuK3e96Dt2oArjfZsy29OVBZuEw2963Cd7VJJmeC9R657Yqnn-iBl-LCGbCDJ46_E.1KBbVn6EuNQhK8BeeqT6-AoEB-Kso0qXYJBzRzNpBvo&dib_tag=se&qid=1744805258&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-77&xpid=NIOcc7XmuV-Ps,PAUL HEWITT,Oceanpulse | Analog Dial Colour Black Women Watch - PH-W-0306,PH-W-0306,"11,000",,50%,Black,Stainless Steel,16 Millimeters,40 Millimeters,Stainless Steel,10.5 Millimeters,Black,Glass,Round,Quartz,50 Meters,Water Resistant,https://m.media-amazon.com/images/I/61kya6UOXWL._AC_UL320_.jpg,,10k–15k
https://www.amazon.in/PHILIPP-Analog-Multicolor-Womens-Watch-PWCDA0724/dp/B0DJGZMWFZ/ref=sr_1_46?dib=eyJ2IjoiMSJ9.T493kCtBVBOaf4cA2ZshCXQ7_tY2l2XKGQWY2bAvRonVYrY1yie7foZzm1oFyICCMT2_ugttbCrhT3w4kKuRkdgHjNnca4uKaRxU-Hw9ov8PwfaC90jpmkdefnN-6nq3Wi6J319wSzwx36P6mw8AY9jFujmXDS_EPuj2p3pCwyc5vAcWhrVj1ZOu1TRvV-ECLEnKNQ5FoHdtGbbw6nF-BijdZfUNWhPprhqk2bRlyJTP_tqdrHfeL5kt9oxhvKcvnSwex6RIu0cBzL46Kz9bYPgGEQFTu5dNi-PhGD3lZ9A.9PT6-jlVWpUdfM_aJZPNwGlYH92Gn39ip6BzJ-uSndQ&dib_tag=se&qid=1744806557&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-46&xpid=NIOcc7XmuV-Ps,Philipp Plein,Queen Women's Analogue Quartz Watch,PWCDA0724,"47,495",,,Multicolor,Stainless Steel,20 Millimeters,38 Millimeters,Stainless Steel,10.8 Millimeters,Multicolor,Mineral Glass,Round,Quartz,50 Meters,Luminous hands,https://m.media-amazon.com/images/I/71lFRHe7GPL._AC_UL320_.jpg,,40k+
https://www.amazon.in/PHILIPP-Analog-Silver-Womens-Watch-PW2BA0223/dp/B0CJFHQYBR/ref=sr_1_57?dib=eyJ2IjoiMSJ9.sw-gg5aAgqwoCps22hShfwhsWaX7XZ5Te1HNkDOSGWltIowrDUyda4h_D3GbMQXSEBpE9_AQT8nxPLOQhd2fX5fBnAPQQAv9JBjaYjWUroL22ElsVx6pz2EiNRmmrWcTE73nNfv8I4XKAqxOKoMqodzZBzvIiLmM-Zh8skYrRZYb_79rf2-ws8potI9ECg9hoODB8K4pFAz-oWjoO6mHPXCuux7sU9iiGd0abABv11hd6BhFwp7TAOGKWGnRba0nXiqyi8ilkI9Ur9ATMlpccfat1sxf9sLZCvkbOosEKjU.JtokMTLc_7H6O3rqbzzIBV0upxBw6O-8rW1eaVdnVP0&dib_tag=se&qid=1744806559&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-57&xpid=NIOcc7XmuV-Ps,Philipp Plein,Analog Silver Dial Women's Watch-PW2BA0223,PW2BA0223,"56,500",,,Gold,Stainless Steel,20 Millimeters,38 Millimeters,Stainless Steel,9.8 Millimeters,Silver,Mineral Glass,Round,Quartz,50 Meters,Waterproof,https://m.media-amazon.com/images/I/71GYRZOsIdL._AC_UL320_.jpg,,40k+
https://www.amazon.in/PHILIPP-PLEIN-Analog-Black-Watch-PWPZA0424/dp/B0DJGY2WZ4/ref=sr_1_47?dib=eyJ2IjoiMSJ9.T493kCtBVBOaf4cA2ZshCXQ7_tY2l2XKGQWY2bAvRonVYrY1yie7foZzm1oFyICCMT2_ugttbCrhT3w4kKuRkdgHjNnca4uKaRxU-Hw9ov8PwfaC90jpmkdefnN-6nq3Wi6J319wSzwx36P6mw8AY9jFujmXDS_EPuj2p3pCwyc5vAcWhrVj1ZOu1TRvV-ECLEnKNQ5FoHdtGbbw6nF-BijdZfUNWhPprhqk2bRlyJTP_tqdrHfeL5kt9oxhvKcvnSwex6RIu0cBzL46Kz9bYPgGEQFTu5dNi-PhGD3lZ9A.9PT6-jlVWpUdfM_aJZPNwGlYH92Gn39ip6BzJ-uSndQ&dib_tag=se&qid=1744806557&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-47&xpid=NIOcc7XmuV-Ps,Philipp Plein,Analog Black Dial Men's Watch-PWPZA0424,PWPZA0424,"63,495",1,,Multicolor,Stainless Steel,22 Millimeters,44 Millimeters,Stainless Steel,11.6 Millimeters,Black,Mineral Glass,Round,Quartz,50 Meters,"Luminous hands, Luminous numerals",https://m.media-amazon.com/images/I/71J33XCrDkL._AC_UL320_.jpg,,40k+
https://www.amazon.in/PHILIPP-PLEIN-Analog-Green-Watch-PWPWA0724/dp/B0DJBK8LVW/ref=sr_1_49?dib=eyJ2IjoiMSJ9.T493kCtBVBOaf4cA2ZshCXQ7_tY2l2XKGQWY2bAvRonVYrY1yie7foZzm1oFyICCMT2_ugttbCrhT3w4kKuRkdgHjNnca4uKaRxU-Hw9ov8PwfaC90jpmkdefnN-6nq3Wi6J319wSzwx36P6mw8AY9jFujmXDS_EPuj2p3pCwyc5vAcWhrVj1ZOu1TRvV-ECLEnKNQ5FoHdtGbbw6nF-BijdZfUNWhPprhqk2bRlyJTP_tqdrHfeL5kt9oxhvKcvnSwex6RIu0cBzL46Kz9bYPgGEQFTu5dNi-PhGD3lZ9A.9PT6-jlVWpUdfM_aJZPNwGlYH92Gn39ip6BzJ-uSndQ&dib_tag=se&qid=1744806557&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-49&xpid=NIOcc7XmuV-Ps,Philipp Plein,Men's Watch Analogue Quartz The $Kull Spikes,PWPWA0724,"73,495",,,Multicolor,Stainless Steel,24 Millimeters,45 Millimeters,Stainless Steel,12 Millimeters,Green,Mineral Glass,Asymmetrical,Quartz,50 Meters,"Luminous hands, Luminous numerals",https://m.media-amazon.com/images/I/61-ZUJ39aML._AC_UL320_.jpg,,40k+
https://www.amazon.in/PHILIPP-PLEIN-Analog-Green-Watch-PWPZA0224/dp/B0DJGXTZ6F/ref=sr_1_48?dib=eyJ2IjoiMSJ9.T493kCtBVBOaf4cA2ZshCXQ7_tY2l2XKGQWY2bAvRonVYrY1yie7foZzm1oFyICCMT2_ugttbCrhT3w4kKuRkdgHjNnca4uKaRxU-Hw9ov8PwfaC90jpmkdefnN-6nq3Wi6J319wSzwx36P6mw8AY9jFujmXDS_EPuj2p3pCwyc5vAcWhrVj1ZOu1TRvV-ECLEnKNQ5FoHdtGbbw6nF-BijdZfUNWhPprhqk2bRlyJTP_tqdrHfeL5kt9oxhvKcvnSwex6RIu0cBzL46Kz9bYPgGEQFTu5dNi-PhGD3lZ9A.9PT6-jlVWpUdfM_aJZPNwGlYH92Gn39ip6BzJ-uSndQ&dib_tag=se&qid=1744806557&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-48&xpid=NIOcc7XmuV-Ps,Philipp Plein,GMT-I Challenger Baguettes Unisex Analogue Quartz Watch Stainless Steel,PWPZA0224,"63,495",5,,Multicolor,Stainless Steel,22 Millimeters,44 Millimeters,Stainless Steel,11.6 Millimeters,Green,Mineral Glass,Round,Quartz,50 Meters,"Luminous hands, Luminous numerals",https://m.media-amazon.com/images/I/71wNIty1WBL._AC_UL320_.jpg,,40k+
https://www.amazon.in/PHILIPP-PLEIN-Analog-Womens-Watch-PWADA0624/dp/B0DJBJCYP3/ref=sr_1_50?dib=eyJ2IjoiMSJ9.4SfYORYXr_wc0AWddjvS8OMPsY0zme-DGyG_-H6MTylFw4Pmi5hG79o378ydpOLqeMfkOUZk4agP00wXE_skb8lpMtHHyljLeGs9s78ixxn59YWFCKgJ9W2Txk4E1kZowP9b1BHQoaxNcCxY_v_uqQ.T21AF2yEKJyT7RFI5uNJKJUpHoEodhPsoe5W1DcjPn0&dib_tag=se&qid=1744806559&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-50&xpid=NIOcc7XmuV-Ps,Philipp Plein,$Kull Spikes Lady Women's Watch Analogue Quartz,PWADA0624,"73,495",,,Multicolor,Stainless Steel,13 Millimeters,40 Millimeters,Stainless Steel,11.3 Millimeters,Rose Gold,Mineral Glass,Asymmetrical,Quartz,50 Meters,,https://m.media-amazon.com/images/I/71zf8ayD24L._AC_UL320_.jpg,,40k+
https://www.amazon.in/Philipp-Plein-Collection-Timepiece-Featuring/dp/B0BV13HVRH/ref=sr_1_70?dib=eyJ2IjoiMSJ9.sw-gg5aAgqwoCps22hShfwhsWaX7XZ5Te1HNkDOSGWltIowrDUyda4h_D3GbMQXSEBpE9_AQT8nxPLOQhd2fX5fBnAPQQAv9JBjaYjWUroL22ElsVx6pz2EiNRmmrWcTE73nNfv8I4XKAqxOKoMqodzZBzvIiLmM-Zh8skYrRZYb_79rf2-ws8potI9ECg9hoODB8K4pFAz-oWjoO6mHPXCuux7sU9iiGd0abABv11hd6BhFwp7TAOGKWGnRba0nXiqyi8ilkI9Ur9ATMlpccfat1sxf9sLZCvkbOosEKjU.JtokMTLc_7H6O3rqbzzIBV0upxBw6O-8rW1eaVdnVP0&dib_tag=se&qid=1744806559&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-70&xpid=NIOcc7XmuV-Ps,Philipp Plein,"Plein Philipp Collection Luxury Mens Watch Timepiece with a Rosegold Bracelet Featuring a IP Rose Gold Case and Brown Dial, IP Rose Gold, OS, Plein Philipp",PWSAA0623,"68,400",1,,Rose Gold,Rose Gold,22 Millimeters,44 Millimeters,Rose Gold,10.3 Millimeters,Brown,Mineral,Round,Quartz,50 Meters,Chronograph,https://m.media-amazon.com/images/I/610VCAJusuL._AC_UL320_.jpg,,40k+
https://www.amazon.in/Philipp-Plein-Nobile-Womens-Analogue/dp/B0CJF36VZY/ref=sr_1_58?dib=eyJ2IjoiMSJ9.sw-gg5aAgqwoCps22hShfwhsWaX7XZ5Te1HNkDOSGWltIowrDUyda4h_D3GbMQXSEBpE9_AQT8nxPLOQhd2fX5fBnAPQQAv9JBjaYjWUroL22ElsVx6pz2EiNRmmrWcTE73nNfv8I4XKAqxOKoMqodzZBzvIiLmM-Zh8skYrRZYb_79rf2-ws8potI9ECg9hoODB8K4pFAz-oWjoO6mHPXCuux7sU9iiGd0abABv11hd6BhFwp7TAOGKWGnRba0nXiqyi8ilkI9Ur9ATMlpccfat1sxf9sLZCvkbOosEKjU.JtokMTLc_7H6O3rqbzzIBV0upxBw6O-8rW1eaVdnVP0&dib_tag=se&qid=1744806559&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-58&xpid=NIOcc7XmuV-Ps,Philipp Plein,Nobile Lady Women's Watch Analogue Quartz Chrono,PWSBA0123,"52,400",1,,Silver,Silver,20 Millimeters,38 Millimeters,Stainless Steel,10.5 Millimeters,Silver,Mineral Glass,Round,Quartz,50 Meters,Chronograph,https://m.media-amazon.com/images/I/61NmhLzrwbL._AC_UL320_.jpg,,40k+
